feature,importance,std
mileage_num,907.7532280863401,315.04289469542186
condition_fair,718.8456735523438,166.70320539041685
age,402.4913823229793,363.35201894197013
city_Shelton,148.72096781628593,99.6742974591962
color_white,44.518372122441136,40.14816290188903
zipcode_6606.0,32.12039618550157,36.004895471684826
transmission_manual,18.989297769422866,26.129118641012028
color_blue,7.127210291939082,28.18810756082855
condition_good,4.46911618320878,4.918600546768909
city_Stratford,1.1728134507392496,2.6853465993772248
make_model_Pontiac_Trans Am,0.0,0.0
make_model_Ford_Ranger XLT,0.0,0.0
make_model_Honda_Civic LX,0.0,0.0
make_model_Jeep_Grand Cherokee Overland,0.0,0.0
make_model_Jeep_Grand Cherokee,0.0,0.0
make_model_Nissan_Altima,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
color_Silver,0.0,0.0
make_model_Subaru_Crosstrek,0.0,0.0
color_Tan,0.0,0.0
color_beige,0.0,0.0
color_brown,0.0,0.0
color_burgundy,0.0,0.0
color_gold,0.0,0.0
color_cream,0.0,0.0
color_grey,0.0,0.0
make_model_Jeep_Wrangler Sahara,0.0,0.0
make_model_Subaru_Forester,0.0,0.0
make_model_Subaru_Outback,0.0,0.0
make_model_Toyota_Camry,0.0,0.0
make_model_other,0.0,0.0
make_model_volkswagen_tiguan,0.0,0.0
color_Gray,0.0,0.0
make_model_Ford_F-350,0.0,0.0
make_model_BMW_X3,0.0,0.0
zipcode_6776.0,0.0,0.0
zipcode_6604.0,0.0,0.0
zipcode_6450.0,0.0,0.0
zipcode_6460.0,0.0,0.0
color_maroon/silver,0.0,0.0
color_maroon,0.0,0.0
color_purple,0.0,0.0
color_red,0.0,0.0
color_green,0.0,0.0
fuel_hybrid,0.0,0.0
fuel_gasoline,0.0,0.0
city_Bethany,0.0,0.0
city_Berlin,0.0,0.0
fuel_electric,0.0,0.0
condition_salvage,0.0,0.0
condition_new,0.0,0.0
city_Cheshire,0.0,0.0
city_Clinton,0.0,0.0
city_Danbury,0.0,0.0
city_Deep River,0.0,0.0
city_Derby,0.0,0.0
city_Branford,0.0,0.0
city_Bridgeport,0.0,0.0
city_Bronx,0.0,0.0
city_Ellington,0.0,0.0
city_East Granby,0.0,0.0
city_Fairfield,0.0,0.0
city_Lake Crystal,0.0,0.0
city_Hamden,0.0,0.0
city_Ansonia,0.0,0.0
fuel_CNG,0.0,0.0
color_yellow,0.0,0.0
city_Poughkeepsie,0.0,0.0
city_Patterson,0.0,0.0
city_North Haven,0.0,0.0
city_Norwalk,0.0,0.0
city_Orange,0.0,0.0
city_Madison,0.0,0.0
city_Hudson,0.0,0.0
city_Killingworth,0.0,0.0
city_New Haven,0.0,0.0
city_Milford,0.0,0.0
city_Nashua,0.0,0.0
city_Naugatuck,0.0,0.0
