feature,importance_mean,importance_std
make_model_Dodge_Durango,0.0,0.0
make_model_Dodge_Grand Caravan,0.0,0.0
make_model_Dodge_Grand Caravan SXT,0.0,0.0
make_model_Dodge_Neon,0.0,0.0
make_model_Dodge_ram 1500,0.0,0.0
make_model_Ford_Country Squire Wagon,0.0,0.0
make_model_Ford_E250 super duty cargo,0.0,0.0
make_model_Ford_E350 Super Duty Cutaway,0.0,0.0
make_model_Ford_E450,0.0,0.0
make_model_Ford_Econoline Cargo Van E-250,0.0,0.0
make_model_Ford_Econoline Cargo Van e-250,0.0,0.0
make_model_Ford_Ecosport S,0.0,0.0
make_model_Ford_Edge,0.0,0.0
make_model_Ford_Escape,0.0,0.0
make_model_Ford_Explorer,0.0,0.0
make_model_Ford_F-150,0.0,0.0
make_model_Ford_F-150 Roush Raptor,0.0,0.0
make_model_Ford_F-350,0.0,0.0
make_model_Ford_F150,0.0,0.0
make_model_Ford_Flex SEL AWD,0.0,0.0
make_model_Ford_Focus,0.0,0.0
make_model_Ford_Fusion,0.0,0.0
make_model_Ford_Fusion Hybrid,0.0,0.0
make_model_Ford_Fusion SE,0.0,0.0
make_model_Ford_Mini-T HR Campervan,0.0,0.0
make_model_Ford_Mustang,0.0,0.0
make_model_Ford_Ranger,0.0,0.0
make_model_Ford_Ranger XL,0.0,0.0
make_model_Ford_Ranger XLT,0.0,0.0
make_model_Ford_f-250,0.0,0.0
make_model_GMC_Acadia,0.0,0.0
make_model_GMC_Sierra 2500hd Denali,0.0,0.0
make_model_HONDA_CR-V EX,0.0,0.0
make_model_Honda_Accord,0.0,0.0
make_model_Honda_Accord LX,0.0,0.0
make_model_Honda_CR-V,0.0,0.0
make_model_Honda_CR-V EX,0.0,0.0
make_model_Honda_CRZ-EX,0.0,0.0
make_model_Honda_Civic,0.0,0.0
make_model_Honda_Civic EX,0.0,0.0
make_model_Honda_Civic Hybrid,0.0,0.0
make_model_Honda_Civic LX,0.0,0.0
make_model_Honda_Odyssey EX,0.0,0.0
make_model_Honda_Passport EX-L Sport,0.0,0.0
make_model_Honda_accord,0.0,0.0
make_model_Hyundai_Elantra,0.0,0.0
make_model_Hyundai_Elantra GLS,0.0,0.0
make_model_Hyundai_Sonata,0.0,0.0
make_model_Hyundai_Sonata GLS,0.0,0.0
make_model_Infiniti_EX37 Journey,0.0,0.0
make_model_Jaguar_MK V Drophead coupe,0.0,0.0
make_model_Jaguar_XF,0.0,0.0
make_model_Jeep_Cherokee,0.0,0.0
make_model_Jeep_Cherokee XJ,0.0,0.0
make_model_Jeep_Grand Cherokee,0.0,0.0
make_model_Jeep_Grand Cherokee Altitude AWD,0.0,0.0
make_model_Jeep_Grand Cherokee Laredo,0.0,0.0
make_model_Jeep_Grand Cherokee Overland,0.0,0.0
make_model_Jeep_Wrangler,0.0,0.0
